Branch No,Branch Code,LATITUDE,LONGITUDE,Machines,Area,District,Branch Name,Branch Name 2,Nbhd Tier,Tier,Youth Hub,Square Footage,facility_master_id,Branch Postal Code,FacilityID,OverDrive Branch,NBHD Name,NBHD No,City,NIA2014,Branch Address,Branch Telephone,City Councillor 2014-2018,FSA,Prov,RealBranch,Ward No,Ward Region,geometry
110,LD,,,,CWS,CWS,Adult Literacy Department,Adult Literacy Department,,,No,,,,,,All Toronto,-1.0,,,,,,,,0,,,POINT (nan nan)
1,AG,43.786080999999996,-79.291331,47.0,Agincourt-Barbara Frum-Fairview,Agincourt,Agincourt,Agincourt,District,DL,No,27000.0,4.0,M1T3W6,1024.0,Agincourt (Toronto Public Library),Tam O'Shanter-Sullivan,118.0,Scarborough,0.0,155 Bonis Ave,(416) 396-8943,Norm Kelly,M1T,ON,1,40.0,Scarborough Agincourt,POINT (-79.291331 43.786081)
2,ACD,43.70859200000001,-79.2688109999999,36.0,Albert Campbell-Cedarbrae-Malvern,Albert Campbell,Albert Campbell,Albert Campbell,District,DL,No,26100.0,7.0,M1K1N8,1025.0,Albert Campbell (Toronto Public Library),Clairlea-Birchmount,120.0,Scarborough,1.0,496 Birchmount Rd,(416) 396-8890,Michelle Berardinetti,M1K,ON,1,35.0,Scarborough Southwest,POINT (-79.2688109999999 43.70859200000001)
3,AB,43.739691,-79.580803,30.0,Albion-M.A.Shchuka-York Woods,Albion,Albion,Albion,District,DL,No,32279.0,5.0,M9V1B2,1026.0,Albion (Toronto Public Library),Mount Olive-Silverstone-Jamestown,2.0,Etobicoke,1.0,1515 Albion Rd,(416) 394-5170,Vincent Crisanti,M9V,ON,1,1.0,Etobicoke North,POINT (-79.580803 43.739691)
4,AD,43.601534999999906,-79.546548,7.0,Bloor/Gladstone-Brentwood-Richview,Richview,Alderwood,Alderwood,Neighbourhood 2,NL,No,7341.0,,M8W4Y1,1027.0,Alderwood (Toronto Public Library),Alderwood,20.0,Etobicoke,0.0,2 Orianna Dr,(416) 394-5310,Mark Grimes,M8W,ON,1,6.0,Etobicoke Lakeshore,POINT (-79.546548 43.60153499999991)
5,AP,43.706986,-79.4848219999999,6.0,Agincourt-Barbara Frum-Fairview,Barbara Frum,Amesbury Park,Amesbury Park,Neighbourhood 3,NL,No,6320.0,,M6L1A8,1028.0,Amesbury Park (Toronto Public Library),Brookhaven-Amesbury,30.0,North York,1.0,1565 Lawrence Ave W,(416) 395-5420,Frank Di Giorgio,M6L,ON,1,12.0,York South-Weston,POINT (-79.48482199999989 43.706986)
6,AN,43.66352299999991,-79.46628300000002,11.0,Bloor/Gladstone-Brentwood-Richview,Brentwood,Annette Street,Annette Street,Neighbourhood 2,NL,No,7806.0,1.0,M6P1P3,1029.0,Annette (Toronto Public Library),Junction Area,90.0,Toronto,0.0,145 Annette St.,(416) 393-7692,Sarah Doucette,M6P,ON,1,13.0,Parkdale-High Park,POINT (-79.46628300000002 43.66352299999991)
102,AL,,,,,,Answerline,Answerline,,,No,,,,,,All Toronto,-1.0,,,,,,,,0,,,POINT (nan nan)
7,AH,43.73867200000001,-79.42116300000002,5.0,Agincourt-Barbara Frum-Fairview,Barbara Frum,Armour Heights,Armour Heights,Neighbourhood 3,NL,No,2988.0,,M5M4M7,1030.0,Armour Heights (Toronto Public Library),Bedford Park-Nortown,39.0,North York,0.0,2140 Avenue Rd,(416) 395-5430,Christin Carmichael Greb,M5M,ON,1,16.0,Eglinton-Lawrence,POINT (-79.42116300000002 43.73867200000001)
113,PR,,,,RS,RS,Automated Phone System,Automated Phone System,,,No,,,,,,All Toronto,-1.0,,,,,,,,0,,,POINT (nan nan)
